column_a,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode,playlist_name,playlist_img,track_name,artist_name,album_name,album_img,key_frequency,tsne_x,tsne_y,umap_x,umap_y
153,7Fzm10UeEDemvzlYroQguL,0.42,0.828,F#,-5.871,major,0.107,0.359,0.0,0.0529,0.5,190.791,175213,4,F# major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,Jingle Bells (Glee Cast Version),Glee Cast,"Glee: The Music, The Christmas Album",https://i.scdn.co/image/df267b94bd85aad9be2957f3e80886c1a72114f6,739.99,7.703448,-2.6054637,2.7360504,4.730892
154,7GNsHkiYPcQQjvhTiILFUL,0.317,0.78,F,-6.988,major,0.0504,0.748,2.18e-05,0.317,0.652,154.767,143133,4,F major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,A Marshmallow World,Darlene Love,A Christmas Gift For You From Phil Spector,https://i.scdn.co/image/df9902b4e29a085db5b3fb511c1e2c78ffe60831,698.46,8.504819,-1.3445194,3.073305,4.6446385
155,7j6JmuVQokjHpDqqTFjHax,0.244,0.274,G#,-10.433,major,0.04,0.871,1.18e-05,0.0897,0.164,68.534,243133,4,G# major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,Have Yourself a Merry Little Christmas,Christina Aguilera,Christmas Hits,https://i.scdn.co/image/939adaa29092810cc1c44965b5a5781e38ee7e65,830.61,-7.2143064,1.2329406,7.724783,7.124433
156,7JLIUosTKUWT5UWBlxUylt,0.728,0.726,G,-4.136,minor,0.0343,0.151,0.0,0.46,0.696,129.962,161467,4,G minor,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,You and Me and Christmas,LeAnn Rimes,"It's Christmas, Eve (Original Motion Picture Soundtrack)",https://i.scdn.co/image/7e19e15975bff563cfaba75d4f5aab9206549c6c,783.99,6.9405937,-1.0034494,3.0003185,4.908456
157,7klqcDdyk3laSiOtxNrygB,0.254,0.318,A#,-6.992,major,0.0312,0.355,0.0,0.109,0.2,114.636,210533,4,A# major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,Where Are You Christmas?,Pentatonix,Christmas Is Here!,https://i.scdn.co/image/d95f2279ad49512299646dadf9e3e11c09c94c5e,466.16,-5.333427,-1.2903427,6.613952,7.378429
158,7l1S30HhTTY4rfkBZpc1Db,0.77,0.341,C,-12.457,major,0.0376,0.758,1.11e-06,0.112,0.849,89.324,103173,4,C major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,Rudolph the Red Nosed Reindeer,John Denver,Christmas Hits,https://i.scdn.co/image/939adaa29092810cc1c44965b5a5781e38ee7e65,523.25,-0.053238332,6.3096642,5.695331,3.6777644
159,7Lbxvt42JsNSKVCaN63qhD,0.774,0.511,B,-8.914,major,0.0319,0.322,0.0,0.0672,0.771,94.736,227653,4,B major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,Paul McCartney,McCartney II (Special Edition),https://i.scdn.co/image/a59feeb9c675194eb86e2816c494f4082ccd53d4,493.88,5.759289,3.562256,3.5994961,5.9017587
160,7n5m8nDAnyXo81tr4B3Bcw,0.398,0.879,G,-7.584,major,0.0585,0.228,0.0,0.408,0.564,72.212,136307,4,G major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,Frosty the Snowman,The Ronettes,A Christmas Gift For You From Phil Spector,https://i.scdn.co/image/df9902b4e29a085db5b3fb511c1e2c78ffe60831,783.99,8.351303,0.04294506,2.8266199,5.3263397
161,7n7VsX3sv66znBwA8b5uhp,0.573,0.235,D,-16.982,major,0.0426,0.968,0.0198,0.105,0.834,79.578,115827,4,D major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,Here Comes Santa Claus (Right Down Santa Claus Lane),Elvis Presley,Elvis' Christmas Album,https://i.scdn.co/image/d8ec333974abb5987719025a55a7395a22becb79,587.33,-1.648072,5.7125735,6.6670027,4.2777886
162,7qbxIWpDjAZH84BfhoJlKS,0.343,0.76,D#,-7.146,major,0.0513,0.392,0.000388,0.0773,0.356,126.322,166453,4,D# major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,Christmas (Baby Please Come Home),Darlene Love,Christmas Hits,https://i.scdn.co/image/939adaa29092810cc1c44965b5a5781e38ee7e65,622.25,8.52521,-2.2508287,2.6534,5.0385957
163,7qtBirjfexEIOK3xuqYLR3,0.572,0.895,F,-2.654,major,0.0644,0.0134,0.0,0.216,0.922,145.008,147987,4,F major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,Run Run Rudolph,Kelly Clarkson,Wrapped In Red,https://i.scdn.co/image/df6a48dc94245be056b35262606c7adfd1821b99,698.46,6.478347,-1.3515021,3.1647704,4.742123
164,7rrVN7f83kwaz2sGxoFnJY,0.57,0.292,F,-14.408,major,0.0293,0.841,0.0,0.137,0.399,72.534,207000,4,F major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,Christmas in Our Hearts,Jose Mari Chan,Christmas in Our Hearts,https://i.scdn.co/image/349276cbdfd8857b3975a8ddb956dc167e45d17c,698.46,-3.242533,4.0637493,7.430424,6.548957
165,7t5i1MPAiJZcVRpzQtzzo6,0.838,0.346,G,-8.406,major,0.0471,0.827,0.0111,0.213,0.93,113.988,155347,4,G major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,I Want a Hippopotamus for Christmas (Hippo the Hero),Gayla Peevey,Christmas Hits,https://i.scdn.co/image/939adaa29092810cc1c44965b5a5781e38ee7e65,783.99,-0.6268522,7.798587,6.186789,3.2812805
166,7uVnnj80WNEu02JQ3BA3HJ,0.35,0.377,D#,-11.658,major,0.034,0.353,0.0,0.19,0.277,124.559,222760,4,D# major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,When a Child Is Born,Johnny Mathis,Christmas Hits,https://i.scdn.co/image/939adaa29092810cc1c44965b5a5781e38ee7e65,622.25,-6.691239,-0.074160725,7.121065,7.3041306
167,7xQmVmSfCt4LD9H2uFoWOO,0.496,0.74,D,-11.317,major,0.0386,0.558,0.0,0.404,0.97,148.863,182400,4,D major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,Feliz Navidad,José Feliciano,Christmas Hits,https://i.scdn.co/image/939adaa29092810cc1c44965b5a5781e38ee7e65,587.33,8.076483,-0.74805987,3.3472168,4.8512473
