name	first_artist	duration_ms	popularity	explicit	album_release_date	album_release_year	added_at_date	url	first_letter	album_name	id
Strawberry Fields Forever - Remastered 2009	The Beatles	248933	36	False	1973-04-02	1973	2019-11-24	https://open.spotify.com/track/7cJNjpJZmMeaEjAiHZ36VV	S	The Beatles 1967 - 1970 (Remastered)	7cJNjpJZmMeaEjAiHZ36VV
Duel Of The Fates	London Voices	254360	0	False	1999-05-04	1999	2019-11-02	https://open.spotify.com/track/7di1zbwgfJkRLkTGV44icu	D	Star Wars: The Phantom Menace (Original Motion Picture Soundtrack)	7di1zbwgfJkRLkTGV44icu
Drop It Like It's Hot - Radio Edit	Snoop Dogg	269480	38	False	2004-01-01	2004	2019-10-19	https://open.spotify.com/track/7MJPJTtIcjtMkBftLvprJE	D	Drop It Like It's Hot	7MJPJTtIcjtMkBftLvprJE
...Baby One More Time	Britney Spears	211066	81	False	1999-01-12	1999	2019-10-19	https://open.spotify.com/track/3MjUtNVVq3C8Fn0MP3zhXa	.	...Baby One More Time (Digital Deluxe Version)	3MjUtNVVq3C8Fn0MP3zhXa
Baby Mine	Sharon Rooney	104546	39	False	2019-03-29	2019	2019-09-29	https://open.spotify.com/track/5LkT5CVVxUPpZQXdYiEDoG	B	Dumbo (Original Motion Picture Soundtrack)	5LkT5CVVxUPpZQXdYiEDoG
Oye Como Va	Santana	256933	64	False	1970-09-23	1970	2019-09-29	https://open.spotify.com/track/5u6y4u5EgDv0peILf60H5t	O	Abraxas	5u6y4u5EgDv0peILf60H5t
I Like To Move It	will.i.am	221466	69	False	2008-11-04	2008	2019-09-29	https://open.spotify.com/track/4bAFo6r2ODMDoqM5YHV2gM	I	Madagascar: Escape 2 Africa (Music From The Motion Picture)	4bAFo6r2ODMDoqM5YHV2gM
Dance Monkey	Tones And I	209438	66	False	2019-08-29	2019	2019-09-20	https://open.spotify.com/track/5ZULALImTm80tzUbYQYM9d	D	The Kids Are Coming	5ZULALImTm80tzUbYQYM9d
Pink Panther Theme - Remix Version	Henry Mancini	157106	30	False	2006-05-11	2006	2019-08-04	https://open.spotify.com/track/2iZMxOwYen7XbRWqlhqMkZ	P	Pink Panther Lounge	2iZMxOwYen7XbRWqlhqMkZ
Single Ladies (Put a Ring on It)	Beyoncé	193213	65	False	2008-11-17	2008	2019-07-02	https://open.spotify.com/track/5R9a4t5t5O0IsznsrKPVro	S	I AM...SASHA FIERCE	5R9a4t5t5O0IsznsrKPVro
Chandelier	Sia	216120	69	False	2015-05-04	2015	2019-06-09	https://open.spotify.com/track/2s1sdSqGcKxpPr5lCl7jAV	C	1000 Forms Of Fear (Deluxe Version)	2s1sdSqGcKxpPr5lCl7jAV
Fat Bottomed Girls - Remastered 2011	Queen	255600	63	False	1978-11-10	1978	2019-02-23	https://open.spotify.com/track/4igIYHF3B5VBxEafHauVo3	F	Jazz (Deluxe Remastered Version)	4igIYHF3B5VBxEafHauVo3
Mozart: Horn Concerto No. 4 in E-Flat Major, K. 495: III. Rondo (Allegro vivace)	Wolfgang Amadeus Mozart	200800	2	False	1991-01-01	1991	2019-02-16	https://open.spotify.com/track/4zjdNFk8llgsUAJ1pPdHJV	M	Vocal Amadeus	4zjdNFk8llgsUAJ1pPdHJV
We Will Rock You - Remastered 2011	Queen	122066	69	False	1977-10-28	1977	2019-01-22	https://open.spotify.com/track/54flyrjcdnQdco7300avMJ	W	News Of The World (Deluxe Remastered Version)	54flyrjcdnQdco7300avMJ
Coco Made Me Do It	Lexie Liu	188944	0	False	2017-01-01	2017	2018-09-22	https://open.spotify.com/track/6Fbf1mT3wUyMSHY8qbXNB5	C	Coco Made Me Do It	6Fbf1mT3wUyMSHY8qbXNB5
Nice For What	Drake	210746	74	True	2018-06-29	2018	2018-08-26	https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw	N	Scorpion	3CA9pLiwRIGtUBiMjbZmRw
It's Oh So Quiet	Björk	217733	47	False	1995-06-13	1995	2018-08-25	https://open.spotify.com/track/0OMNQyneWmmZtTQpULYJcl	I	Post	0OMNQyneWmmZtTQpULYJcl
Senza un perchè	Nada	165746	18	False	2005-11-11	2005	2017-12-31	https://open.spotify.com/track/2lfAdxTXoRyn2RSD9iG3en	S	L'apertura	2lfAdxTXoRyn2RSD9iG3en
Suite No.3 In D Major, BWV 1068: 2. Air	Johann Sebastian Bach	280826	0	False	2017-03-31	2017	2017-11-12	https://open.spotify.com/track/5C3ngUFpuVNNv2gSmLvJTR	S	Bach: The Essentials	5C3ngUFpuVNNv2gSmLvJTR
I Got You - 1964 Smash Version	James Brown	167053	10	False	2014-11-21	2014	2017-11-07	https://open.spotify.com/track/3WoIbinbi4NBGfL2IrfOrh	I	Paddington (Original Motion Picture Soundtrack)	3WoIbinbi4NBGfL2IrfOrh
"A Spoonful of Sugar - From ""Mary Poppins"" / Soundtrack Version"	Julie Andrews	249040	53	False	1997-01-01	1997	2017-06-26	https://open.spotify.com/track/29bQPrp6BT0w3kaXTqIo8A	A	Mary Poppins	29bQPrp6BT0w3kaXTqIo8A
Do Your Ears Hang Low?	The Playtime Allstars	81582	4	False	2014-02-24	2014	2017-04-08	https://open.spotify.com/track/67tEDwOA5IB8eSEeExQti1	D	Childrens Favourite Nursery Rhymes & Songs - 60 Timeless Toddler, Playgroup, Pre-School & Kindergarten Kids Classics	67tEDwOA5IB8eSEeExQti1
I Wan'na Be Like You (2016)	Christopher Walken	181026	35	False	2016-04-15	2016	2017-03-24	https://open.spotify.com/track/5VwaB46hxTW0CBZCdtJkxb	I	The Jungle Book (Original Motion Picture Soundtrack)	5VwaB46hxTW0CBZCdtJkxb
Get Back Up Again	Anna Kendrick	165773	63	False	2016-09-23	2016	2017-02-23	https://open.spotify.com/track/3K7xYRXPFDVyen7cZF5Zk2	G	TROLLS (Original Motion Picture Soundtrack)	3K7xYRXPFDVyen7cZF5Zk2
Dramophone	Caravan Palace	203826	35	False	2012-01-01	2012	2017-01-22	https://open.spotify.com/track/5OGzWbdJVqlHGIVqqZyoPX	D	Panic	5OGzWbdJVqlHGIVqqZyoPX
Non, je ne regrette rien	Édith Piaf	142280	44	False	2008-10-13	2008	2017-01-19	https://open.spotify.com/track/0D4gIeyrMtxOAvCWsTHN9x	N	Edith Piaf - The Best Of	0D4gIeyrMtxOAvCWsTHN9x
Jolie coquine	Caravan Palace	226786	33	False	2008-10-20	2008	2017-01-19	https://open.spotify.com/track/61oV1pDJOkSEJX4qWJeANh	J	Caravan Palace	61oV1pDJOkSEJX4qWJeANh
The Bare Necessities	Louis Armstrong	146640	37	False	1968-01-01	1968	2017-01-17	https://open.spotify.com/track/4na1RgQLMubs8z6mEFHspK	T	Disney Songs The Satchmo Way	4na1RgQLMubs8z6mEFHspK
The Bare Necessities	Bill Murray	180706	45	False	2016-04-15	2016	2017-01-17	https://open.spotify.com/track/6fIKi0kU1gZwyNGMlE4Zl6	T	The Jungle Book (Original Motion Picture Soundtrack)	6fIKi0kU1gZwyNGMlE4Zl6
"Bizet: Carmen, WD 31, Act 1: Habanera. ""L'amour est un oiseau rebelle"" (Carmen, Chœur)"	Georges Bizet	269360	40	False	2014-08-22	2014	2017-01-03	https://open.spotify.com/track/5Adxsld8lL9MLcaULeoSKu	B	Pure - Maria Callas	5Adxsld8lL9MLcaULeoSKu
Superman March - Alternate Version	John Williams	228666	24	False	2005-03-15	2005	2016-12-08	https://open.spotify.com/track/18X1KK5GDEWngBMnTb48pJ	S	Superman: The Movie (Original Motion Picture Soundtrack)	18X1KK5GDEWngBMnTb48pJ
Mellow Yellow	Donovan	227226	49	False	1967-03-01	1967	2016-11-20	https://open.spotify.com/track/4cix9zymmhisLuM56RDcB7	M	Mellow Yellow	4cix9zymmhisLuM56RDcB7
True Colors - Film Version	Anna Kendrick	180573	57	False	2016-09-23	2016	2016-11-20	https://open.spotify.com/track/1JY9hsqLWZ3JB3K39Ve1xF	T	TROLLS (Original Motion Picture Soundtrack)	1JY9hsqLWZ3JB3K39Ve1xF
"Kung Fu Fighting (From ""Kung Fu Panda 3"")"	Countdown Singers	196992	0	False	2016-11-06	2016	2016-11-13	https://open.spotify.com/track/46EubLb9TGkgMEv0epEDGQ	K	2016 Children Movie Songs	46EubLb9TGkgMEv0epEDGQ
Happy Together	The Turtles	176293	74	False	1967-01-01	1967	2016-11-13	https://open.spotify.com/track/1JO1xLtVc8mWhIoE3YaCL0	H	Happy Together	1JO1xLtVc8mWhIoE3YaCL0
Malambo No. 1	Moises Vivanco	176600	27	False	1954-01-01	1954	2016-11-04	https://open.spotify.com/track/31EKf1HRXKA3lD2LOjJJNX	M	Mambo!	31EKf1HRXKA3lD2LOjJJNX
Windy (Re-Recorded)	The Association	162213	0	False	2007-06-26	2007	2016-10-24	https://open.spotify.com/track/5UP6vEGxMMXpNPdTiSl8oP	W	60s Classics	5UP6vEGxMMXpNPdTiSl8oP
Try Everything	Shakira	196853	67	False	2016-02-12	2016	2016-10-16	https://open.spotify.com/track/1N3dZ7TTWO6VcD4Y3hHYLZ	T	Zootopia (Original Motion Picture Soundtrack)	1N3dZ7TTWO6VcD4Y3hHYLZ
Djevojka Sa Čardaš Nogama	Djordje Balasevic	205826	11	False	2013-01-01	2013	2016-10-12	https://open.spotify.com/track/0lvg6NNjxz4jIb7FfD9qba	D	The Best Of Collection	0lvg6NNjxz4jIb7FfD9qba
She Sells Sea Shells	Music Together	126890	0	False	2007-01-01	2007	2016-09-26	https://open.spotify.com/track/6Z3XCkXYN0m6a5IKMQ9PjF	S	Family Favorites	6Z3XCkXYN0m6a5IKMQ9PjF
Ridin' in the Car	Music Together	119616	0	False	2007-01-01	2007	2016-09-26	https://open.spotify.com/track/1bkzbjoZsChOU1GtTAKPjD	R	Family Favorites	1bkzbjoZsChOU1GtTAKPjD
Hello Song	Music Together	69345	0	False	2007-01-01	2007	2016-09-26	https://open.spotify.com/track/5rKV4QbAusviEsPk4qVp2O	H	Family Favorites	5rKV4QbAusviEsPk4qVp2O
"""Ellens Gesang III"", D839: Ave Maria"	Franz Schubert	293866	3	False	1989-01-01	1989	2016-09-25	https://open.spotify.com/track/41tvD82UlT1klHMx5RA6xb	""""	"Fantasia - Music from Walt Disney's ""Fantasia"""	41tvD82UlT1klHMx5RA6xb
Little Boxes	Malvina Reynolds	131440	39	False	2000-05-23	2000	2016-09-25	https://open.spotify.com/track/0dRvjBVCStIlBxOqbhAQ3q	L	Ear to the Ground	0dRvjBVCStIlBxOqbhAQ3q
It's Only A Paper Moon	Ella Fitzgerald	154773	0	False	1996-06-04	1996	2016-09-25	https://open.spotify.com/track/0ANCyKm9Q2rbxllN3BfnoF	I	Ella & Friends	0ANCyKm9Q2rbxllN3BfnoF
La Vie en rose	Édith Piaf	187733	58	False	2008-10-13	2008	2016-09-25	https://open.spotify.com/track/3lAun9V0YdTlCSIEXPvfsY	L	Edith Piaf - The Best Of	3lAun9V0YdTlCSIEXPvfsY
Holocaust	Ceza	207746	57	False	2004-07-01	2004	2016-09-07	https://open.spotify.com/track/40Fr7DB1j6RB2DqygQI4LI	H	Rapstar	40Fr7DB1j6RB2DqygQI4LI
Mah Na Mah Na	Mahna Mahna and The Two Snowths	125906	10	False	2011-01-01	2011	2016-09-07	https://open.spotify.com/track/3N7aUWtL9EvKrBtmSCxuYW	M	The Muppets (Original Motion Picture Soundtrack)	3N7aUWtL9EvKrBtmSCxuYW
Sing, Sing, Sing	The Andrews Sisters	160373	24	False	2012-10-29	2012	2016-09-07	https://open.spotify.com/track/6pTS4MPPQxQ2y9cvxA4lZs	S	Some Sunny Day - The Songbook, The Energy And The Blend	6pTS4MPPQxQ2y9cvxA4lZs
My Baby Just Cares For Me	Nina Simone	215706	36	False	2007-01-01	2007	2016-09-07	https://open.spotify.com/track/1XieuY2bxCfXNHwSDJQrPs	M	Jazz Divas	1XieuY2bxCfXNHwSDJQrPs
Wimoweh (Mbube)	Yma Sumac	158440	0	False	2015-01-28	2015	2016-08-14	https://open.spotify.com/track/0mVL6TMwrRqFsLRgoKoAfS	W	Les idoles de la musique sud-américaine : Yma Sumac, Vol. 1	0mVL6TMwrRqFsLRgoKoAfS
The Imperial March (Darth Vader's Theme)	John Williams	182973	0	False	1997-01-01	1997	2016-08-14	https://open.spotify.com/track/62HY7V5hRKtfIZ7uCYqYqu	T	Star Wars Episode V: The Empire Strikes Back (Original Motion Picture Soundtrack)	62HY7V5hRKtfIZ7uCYqYqu
