name	first_artist	duration_ms	popularity	explicit	album_release_date	album_release_year	added_at_date	url	first_letter	album_name	id
Don't Rain on My Parade	Lea Michele	158440	41	False	2022-11-18	2022	2023-07-21	https://open.spotify.com/track/3qaMDTwoBvdrxYvwgr9bgs	D	Funny Girl (New Broadway Cast Recording)	3qaMDTwoBvdrxYvwgr9bgs
What Time Is It	Zac Efron	198000	48	False	2007-01-01	2007	2023-07-21	https://open.spotify.com/track/6NqfslFfCCOyBQ0Xw8kN8E	W	High School Musical 2 (Original Soundtrack)	6NqfslFfCCOyBQ0Xw8kN8E
Friend Like Me	Will Smith	155531	65	False	2019-05-22	2019	2023-07-16	https://open.spotify.com/track/5f2TWu6R2YYCJtLQ0fP78H	F	Aladdin (Original Motion Picture Soundtrack)	5f2TWu6R2YYCJtLQ0fP78H
Peaches	Jack Black	95440	64	False	2023-04-07	2023	2023-05-05	https://open.spotify.com/track/4w9soAM7IrmYDhSXLp14p6	P	The Super Mario Bros. Movie (Original Motion Picture Soundtrack)	4w9soAM7IrmYDhSXLp14p6
Indiana Jones Theme	John Williams	335506	40	False	2000-03-13	2000	2023-05-01	https://open.spotify.com/track/60ZYLVPmSNY9r0Uquaivvs	I	Classics at the Movies: Adventure	60ZYLVPmSNY9r0Uquaivvs
"I'll Be There for You - Theme From ""Friends"""	The Rembrandts	188359	65	False	1995-05-02	1995	2023-01-18	https://open.spotify.com/track/15tHagkk8z306XkyOHqiip	I	L.P.	15tHagkk8z306XkyOHqiip
Wellerman - Sea Shanty	Nathan Evans	155333	69	False	2021-01-21	2021	2022-12-28	https://open.spotify.com/track/54OBgO0Xwu20Jak9TMXbR7	W	Wellerman (Sea Shanty)	54OBgO0Xwu20Jak9TMXbR7
Somewhere Over The Rainbow_What A Wonderful World	Israel Kamakawiwo'ole	308026	68	False	1993-11-01	1993	2022-09-20	https://open.spotify.com/track/25U7raB3ZSszayTYClh4hF	S	Facing Future	25U7raB3ZSszayTYClh4hF
MIDDLE OF THE NIGHT	Elley Duhé	184447	74	False	2020-01-10	2020	2022-09-07	https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly	M	MIDDLE OF THE NIGHT	58HvfVOeJY7lUuCqF0m3ly
Laisse aller	Claudio Capéo	151223	33	False	2022-07-11	2022	2022-09-03	https://open.spotify.com/track/4yhtHeb20ZC2NNe1S7D6Jy	L	Laisse aller	4yhtHeb20ZC2NNe1S7D6Jy
